id;cue;sector;nombre;nro_escuela
1;2200001;Estatal;JARDIN DE INFANTES Nº 84 - ALAS DE LIBERTAD;84
2;2200003;Estatal;JARDIN DE INFANTES Nº 45 - MAESTRA SARA MARINO;45
3;2200004;Privado;U.E.G.P Nº 1 (UEP Nº 1) INSTITUTO EDUCATIVO PRIVADO;1
4;2200019;Estatal;JARDIN DE INFANTES Nº 13 - MARIQUITA S.DE THOMPSON;13
5;2200050;Estatal;JARDIN DE INFANTES Nº 21 - ALMAFUERTE;21
6;2200061;Estatal;JARDIN DE INFANTES Nº 50 - HERMANA MARIA A. BARAGGIOLI;50
7;2200068;Estatal;JARDIN DE INFANTES Nº 46 - BALDOMERO FERNANDEZ MORENO;46
8;2200084;Estatal;JARDIN DE INFANTES Nº 60 - LUISA V.VALLOUD DE TORREGROSA;60
9;2200089;Estatal;JARDIN DE INFANTES Nº 83 - DOÑA PAULA ALBARRACIN;83
10;2200092;Estatal;JARDIN DE INFANTES Nº 5 - ROSARIO VERA PEÑALOZA;5
11;2200143;Estatal;JARDIN DE INFANTES Nº 65 - MAESTRA SORAIDA AUCAR;65
12;2200147;Estatal;JARDIN DE INFANTES Nº 49 - FEDERICO FROEBEL;49
13;2200148;Estatal;JARDIN DE INFANTES Nº 23 - PROFESORA MARINA M.RAVIOLI;23
14;2200149;Estatal;JARDIN DE INFANTES Nº 12 - MARIA MONTESSORI;12
15;2200200;Estatal;E.E.E. Nº 7 - JULIA OFELIA CUBILLA;7
16;2200606;Privado;U.E.G.P Nº 4 (UEP Nº 4) RAYOS DE LUZ;4
17;2200607;Estatal;E.E.E. Nº 4;4
18;2200615;Estatal;JARDIN DE INFANTES Nº 67 - ALEJANDRO CARBO;67
19;2200620;Estatal;JARDIN DE INFANTES Nº 28 - ANA ISABEL RIGHI DE VARELA;28
20;2200622;Privado;U.E.G.P Nº 17 (UEP Nº 17) CRECER CON TODOS;17
21;2200623;Privado;U.E.G.P Nº 51 (UEP Nº 51) IPENI;51
22;2200666;Estatal;JARDIN DE INFANTES Nº 57 - LIBERTAD E INDEPENDENCIA;57
23;2200668;Estatal;JARDIN DE INFANTES Nº 58 - JOSEFINA E.M.DE RENARD;58
24;2200885;Estatal;JARDIN DE INFANTES Nº 19 - DR.JUAN J.O'CONNOR;19
25;2200901;Estatal;JARDIN DE INFANTES Nº 29 - JUSTA JOSEFA GOMEZ DE BELFIORE;29
26;2200915;Estatal;E.E.S. Nº 7 - JUAN S. MAC LEAN (ENS Nº 7);7
27;2200953;Estatal;JARDIN DE INFANTES Nº 34 - CRISTO REY;34
28;2200955;Estatal;JARDIN DE INFANTES Nº 3 - TAMBORCITO DE TACUARI;3
29;2200962;Estatal;JARDIN DE INFANTES Nº 112 - OLGA COSSETTINI;112
30;2200971;Estatal;E.E.E. Nº 1 - DOCTOR LUIS A.GONZALEZ;1
31;2200979;Privado;U.E.G.P Nº 12 (UEP Nº 12) INSTITUTO PRIVADO CRISTIANO;12
32;2201011;Estatal;JARDIN DE INFANTES Nº 33 - NIÑO DE YAPEYU;33
33;2201012;Estatal;JARDIN DE INFANTES Nº 48;48
34;2201032;Estatal;JARDIN DE INFANTES Nº 26 - MARTHA ALCIRA SALOTTI;26
35;2201285;Estatal;E.E.P. Nº 62 - CAALTE. VALENTIN FEILBERG;62
36;2201296;Estatal;JARDIN DE INFANTES Nº 43 - MARIA LUISA ROQUES;43
37;2201305;Estatal;JARDIN DE INFANTES Nº 31 - JORGE ALEJANDRO NEWBERY;31
38;2201306;Estatal;JARDIN DE INFANTES Nº 30 - MAESTRA MARIA L.VARGAS DE HONNORAT;30
39;2201307;Estatal;JARDIN DE INFANTES Nº 32 - MANUELA ORTIZ DE VERA ORTEGA;32
40;2201328;Estatal;JARDIN DE INFANTES Nº 1 - MERCEDITAS DE SAN MARTIN;1
41;2201330;Estatal;E.E.E. Nº 5 - DRA. LYDIA F.DE CORIAT;5
42;2201402;Privado;U.E.G.P Nº 48 (UEP Nº 48) LUIS FEDERICO LELOIR;48
43;2201448;Privado;U.E.G.P Nº 74 (UEP Nº 74) ARDILLITAS;74
44;2201449;Privado;U.E.G.P Nº 75 (UEP Nº 75) MUNDO DE COLORES;75
45;2201463;Privado;U.E.G.P Nº 10 (UEP Nº 10) INSTITUTO EDUCATIVO PRIVADO Nº 2 SRL;10
46;2201465;Estatal;JARDIN DE INFANTES Nº 123 - ARQ.CARLOS E.ALABE;123
47;2201473;Estatal;JARDIN DE INFANTES Nº 124 - MARIA R. DE DELLAMEA;124
48;2201495;Estatal;JARDIN DE INFANTES Nº 129 - MAESTRA MARIA O.DIAZ DE FELDMAN;129
49;2201496;Estatal;JARDIN DE INFANTES Nº 130 - BERTA E.BOCCO DE VARISCO;130
50;2201499;Estatal;JARDIN MATERNAL Y DE INFANTES Nº 133;133
51;2201500;Estatal;JARDIN DE INFANTES Nº 134 - DR. ARTURO LESTANI;134
52;2201501;Estatal;JARDIN DE INFANTES Nº 135 -ANSELMO ZOILO DUCA-;135
53;2201502;Estatal;JARDIN DE INFANTES Nº 136 - MEMPO GIARDINELLI;136
54;2201503;Estatal;JARDIN DE INFANTES Nº 137;137
55;2201510;Estatal;JARDIN DE INFANTES Nº 144 - PROF. MARTHA NOEMI NUÑEZ;144
56;2201512;Privado;U.E.G.P Nº 77 (UEP Nº 77) DIENTES DE LECHE;77
57;2201572;Estatal;CENTRO DE ESTIMULACION Y APRENDIZAJES TEMPRANOS Nº 1;1
58;2201573;Estatal;JARDIN DE INFANTES Nº 147;147
59;2201592;Privado;U.E.G.P Nº 90 (UEP Nº 90) JARDIN CORAZONCITOS;90
60;2201600;Privado;U.E.G.P Nº 92 (UEP Nº 92) IECO - UPA LA LA;92
61;2201609;Privado;U.E.G.P Nº 104 (UEP Nº 104) JARDIN DE ARTES;104
62;2201611;Estatal;JARDIN DE INFANTES Nº 152;152
63;2201616;Privado;U.E.G.P Nº 109 (UEP Nº 109) COLEGIO INTEGRAL DR.CARLOS LOPEZ PIACENTINI;109
64;2201788;Estatal;JARDIN DE INFANTES Nº 153 - LOS NIÑOS DE SAN FRANCISCO JAVIER;153
65;2201794;Privado;U.E.G.P Nº 99 (UEP Nº 99) LOS GIRASOLES;99
66;2201801;Privado;U.E.G.P Nº 101 (UEP Nº 101) INSTITUTO EDUCATIVO PENIEL;101
67;2201803;Privado;U.E.G.P Nº 123 (UEP Nº 123) AL AGUA PATO;123
68;2201805;Privado;U.E.G.P Nº 125 (UEP Nº 125) PLANETA NIÑOS;125
69;2201819;Estatal;JARDIN DE INFANTES Nº 154 - PROFESORA SUSANA ISABEL AQUINO;154
70;2201865;Estatal;JARDIN DE INFANTES Nº 159;159
71;2201895;Privado;U.E.G.P Nº 78 (UEP Nº 78) FE Y ALEGRIA ARGENTINA;78
72;2201907;Estatal;JARDIN DE INFANTES Nº 167;167
73;2201935;Privado;U.E.G.P Nº 15 - INSTITUTO PRIVADO CHACO;15
74;2202008;Estatal;JARDIN DE INFANTES Nº 170;170
75;2202023;Estatal;JARDIN DE INFANTES Nº 174 - RAYITO DE SOL;174
76;2202026;Estatal;JARDIN DE INFANTES Nº  177;177
77;2202056;Estatal;JARDIN DE INFANTES Nº 179;179
78;2202057;Estatal;JARDIN DE INFANTES Nº 180 - VILLA DON ANDRES;180
79;2202113;Estatal;JARDIN DE INFANTES Nº 184;184
80;2202148;Gestión social/cooperativa;E.P.G.C.B.I.I. Nº 1 (EX-UEP Nº 3O);1
81;2202184;Estatal;JARDIN DE INFANTES Nº 196 - GRACIELA BEATRIZ CABAL;196
82;2202198;Privado;U.E.G.P Nº 160 (UEP Nº 160);160
83;2202210;Privado;U.E.G.P Nº 21 (UEP Nº 21) MARIA AUXILIADORA;21
84;2202212;Estatal;P.E. JARDIN MATERNO INFANTIL NOCTURNO PARA LA INCLUSION SOCIAL Y EDUCATIVA;
85;2202234;Privado;U.E.G.P Nº 155 (UEP Nº 155) PIMPOLLOS;155
86;2202236;Privado;U.E.G.P Nº 26 (UEP Nº 26) SAN JOSE OBRERO;26
87;2202259;Estatal;E.E.E. Nº 40 (EX-CAANEM);40
88;2202265;Gestión social/cooperativa;E.P.G.S. Nº 1 - HEROES LATINOAMERICANOS;1
89;2202284;Estatal;JARDIN DE INFANTES Nº 205 - LAURA DEVETACH;205
90;2202292;Estatal;P.E. EL JARDÍN MATERNO INFANTIL CASTILLO DE ARENA (UPCP);
91;2202294;Gestión social/cooperativa;E.P.G.S. Nº 15 (EX P.E. BLA)-MARIANO FERREYRA-;
92;2202301;Gestión social/cooperativa;JARDIN MATERNO INFANTIL - PROF. NELIDA SOSIO DE YTURRIOZ (UNNE);
93;2202309;Privado;U.E.G.P Nº 27 (UEP Nº 27) EMILIO LAMARCA;27
94;2202310;Privado;U.E.G.P Nº 31 (UEP Nº 31) SAN ROQUE;31
95;2202313;Privado;U.E.G.P Nº 18 (UEP Nº 18) NUESTRA SEÑORA DE ITATI;18
96;2202321;Privado;U.E.G.P Nº 19 (UEP Nº 19) DON BOSCO;19
97;2202328;Privado;U.E.G.P Nº 73 (UEP Nº 73) IGLESIA DE JESUCRISTO;73
98;2202331;Estatal;JARDIN DE INFANTES Nº 207 - DORA ADELA PANDO MONZÓN;207
99;2202333;Privado;U.E.G.P Nº 183 (UEP Nº 183) CETAI CHACO;183
100;2202334;Estatal;P.E. MATERNO INFANTIL DE LA U.T.I.CH;
101;2202335;Estatal;P.E. INICIAL - JARDIN LÚDICO EXPRESIVO;
102;2202351;Gestión social/cooperativa;E.P.G.S. Nº 2 (INICIAL);2
103;2202363;Privado;U.E.G.P Nº 189 (UEP Nº 189) PROYECTO EDUCATIVO MIRADA TRES;189
104;2202375;Privado;U.E.G.P Nº 184 (UEP Nº 184) C.I.T.T.I;184
105;2202407;Estatal;P.E. INICIAL - GUARDERIA DEL PODER LEGISLATIVO;
106;2202412;Privado;U.E.G.P Nº 191 (UEP Nº 191) CREANDO ESPACIOS;191
107;2202424;Estatal;JARDIN DE INFANTES Nº 211;211
108;2202445;Privado;U.E.G.P Nº 179 (UEP Nº 179) INSTITUTO DE FORMACION INTEGRAL CHACO;179
109;2202508;Privado;U.E.G.P Nº 206;206
110;2202512;Gestión social/cooperativa;E.P.G.S. Nº 6 -CARLOS ARMANDO ROLON (EX P-E BLA ZONA SUR);6
111;2202546;Privado;U.E.G.P Nº 205 - MIS PEQUEÑITOS;205
112;2202552;Privado;U.E.G.P Nº 204 - RETOÑOS ECO JAR;204
113;2202590;Estatal;P.E. INICIAL - CENTRO DE ATENCION ALUMNA MADRE;
114;2202593;Estatal;P.E. INICIAL - PEQUEÑOS SUEÑOS;
115;2202600;Estatal;P.E. INICIAL - NOCTURNO PARA INCLUSION EDUCATIVA;
116;2202604;Estatal;P.E. INICIAL - PEQUEÑOS SABIOS;
117;2202619;Privado;U.E.G.P Nº 216 - SENSACIONES JARDIN MATERNAL;216
118;2202634;Privado;U.E.G.P Nº 221;221
